Question	Answer	Source	Metadata
整	池田整治ですね	Editional	
昭和	池田整治ですね	Editional	
日本	池田整治ですね	Editional	
作家	池田整治ですね	Editional	
ローレンス	ローレンス・シャーですね	Editional	
シャー	ローレンス・シャーですね	Editional	
月	ローレンス・シャーですね	Editional	
アメリカ合衆国	ローレンス・シャーですね	Editional	
映画	ローレンス・シャーですね	Editional	
剣道	山根幸恵ですね	Editional	
鳥取	山根幸恵ですね	Editional	
全日本	山根幸恵ですね	Editional	
連盟	山根幸恵ですね	Editional	
山根	山根幸恵ですね	Editional	
東京	前野まさるですね	Editional	
前野	前野まさるですね	Editional	
まさる	前野まさるですね	Editional	
藝	前野まさるですね	Editional	
大学	前野まさるですね	Editional	
加須	加須地域循環バスですね	Editional	
バス	加須地域循環バスですね	Editional	
年末年始	加須地域循環バスですね	Editional	
月	加須地域循環バスですね	Editional	
地域	加須地域循環バスですね	Editional	
月	ピエール・マーチンですね	Editional	
王座	ピエール・マーチンですね	Editional	
カナダ	ピエール・マーチンですね	Editional	
タッグ	ピエール・マーチンですね	Editional	
マーチン	ピエール・マーチンですね	Editional	
党	元恵栄ですね	Editional	
民主	元恵栄ですね	Editional	
民主党	元恵栄ですね	Editional	
富川	元恵栄ですね	Editional	
市長	元恵栄ですね	Editional	
フィンランド	トール・リバティですね	Editional	
月	トール・リバティですね	Editional	
ドイツ	トール・リバティですね	Editional	
積荷	トール・リバティですね	Editional	
爆薬	トール・リバティですね	Editional	
月	レオ・バークですね	Editional	
王座	レオ・バークですね	Editional	
地区	レオ・バークですね	Editional	
マーチン	レオ・バークですね	Editional	
タッグ	レオ・バークですね	Editional	
選手権	宇野昌磨ですね	Editional	
大会	宇野昌磨ですね	Editional	
ループ	宇野昌磨ですね	Editional	
世界	宇野昌磨ですね	Editional	
全日本	宇野昌磨ですね	Editional	
アル	アルビン2 シマリス3兄弟 vs. 3姉妹ですね	Editional	
ビン	アルビン2 シマリス3兄弟 vs. 3姉妹ですね	Editional	
シマ	アルビン2 シマリス3兄弟 vs. 3姉妹ですね	Editional	
リス	アルビン2 シマリス3兄弟 vs. 3姉妹ですね	Editional	
姉妹	アルビン2 シマリス3兄弟 vs. 3姉妹ですね	Editional	
石井	石井至ですね	Editional	
至	石井至ですね	Editional	
日本	石井至ですね	Editional	
コンサルタント	石井至ですね	Editional	
兄弟	石井至ですね	Editional	
日本	石川源ですね	Editional	
石川	石川源ですね	Editional	
ディレクター	石川源ですね	Editional	
アート	石川源ですね	Editional	
パッケージ	石川源ですね	Editional	
恩地	恩地ですね	Editional	
土地	恩地ですね	Editional	
主君	恩地ですね	Editional	
恩	恩地ですね	Editional	
御家人	恩地ですね	Editional	
道下	道下匡子ですね	Editional	
匡子	道下匡子ですね	Editional	
樺太	道下匡子ですね	Editional	
ウィスコンシン	道下匡子ですね	Editional	
みち	道下匡子ですね	Editional	
岡本	Tomorrow (岡本真夜のアルバム)ですね	Editional	
真夜	Tomorrow (岡本真夜のアルバム)ですね	Editional	
アルバム	Tomorrow (岡本真夜のアルバム)ですね	Editional	
月	Tomorrow (岡本真夜のアルバム)ですね	Editional	
福島	Tomorrow (岡本真夜のアルバム)ですね	Editional	
由紀夫	釋永由紀夫ですね	Editional	
陶芸	釋永由紀夫ですね	Editional	
しゃく	釋永由紀夫ですね	Editional	
日本	釋永由紀夫ですね	Editional	
越中	釋永由紀夫ですね	Editional	
杉木	杉木信章ですね	Editional	
信章	杉木信章ですね	Editional	
日本	杉木信章ですね	Editional	
映像	杉木信章ですね	Editional	
クリエイティブ	杉木信章ですね	Editional	
京都	あぐり京都ですね	Editional	
あぐり	あぐり京都ですね	Editional	
月	あぐり京都ですね	Editional	
番組	あぐり京都ですね	Editional	
テレビ	あぐり京都ですね	Editional	
ブッシュ	ブッシュ減税ですね	Editional	
法案	ブッシュ減税ですね	Editional	
大統領	ブッシュ減税ですね	Editional	
経済	ブッシュ減税ですね	Editional	
所得	ブッシュ減税ですね	Editional	
城南	城南学園通りですね	Editional	
福岡	城南学園通りですね	Editional	
交差点	城南学園通りですね	Editional	
愛称	城南学園通りですね	Editional	
福岡大学	城南学園通りですね	Editional	
月	ピエール・ヴァンツェルですね	Editional	
パリ	ピエール・ヴァンツェルですね	Editional	
ピエール	ピエール・ヴァンツェルですね	Editional	
出身	ピエール・ヴァンツェルですね	Editional	
フランス	ピエール・ヴァンツェルですね	Editional	
父親	ヤン・ブリューゲル (子)ですね	Editional	
画家	ヤン・ブリューゲル (子)ですね	Editional	
月	ヤン・ブリューゲル (子)ですね	Editional	
作品	ヤン・ブリューゲル (子)ですね	Editional	
アントワープ	ヤン・ブリューゲル (子)ですね	Editional	
麻田	麻田浩二ですね	Editional	
浩二	麻田浩二ですね	Editional	
さだ	麻田浩二ですね	Editional	
生年	麻田浩二ですね	Editional	
不詳	麻田浩二ですね	Editional	
嶋田	嶋田龍ですね	Editional	
龍	嶋田龍ですね	Editional	
しま	嶋田龍ですね	Editional	
りゅう	嶋田龍ですね	Editional	
月	嶋田龍ですね	Editional	
月	大橋正春ですね	Editional	
大橋	大橋正春ですね	Editional	
正	大橋正春ですね	Editional	
春	大橋正春ですね	Editional	
はし	大橋正春ですね	Editional	
藤田	藤田尚弓ですね	Editional	
尚	藤田尚弓ですね	Editional	
弓	藤田尚弓ですね	Editional	
