Question	Answer	Source	Metadata
哲	水野哲ですね	Editional	
日本	水野哲ですね	Editional	
純	水野哲ですね	Editional	
てつ	水野哲ですね	Editional	
月	磯村亮太ですね	Editional	
ポジション	磯村亮太ですね	Editional	
磯村	磯村亮太ですね	Editional	
日本	磯村亮太ですね	Editional	
名古屋	磯村亮太ですね	Editional	
和	和佐田達彦ですね	Editional	
佐田	和佐田達彦ですね	Editional	
爆風	和佐田達彦ですね	Editional	
スランプ	和佐田達彦ですね	Editional	
ベース	和佐田達彦ですね	Editional	
戸川	戸川安章 (民俗学者)ですね	Editional	
章	戸川安章 (民俗学者)ですね	Editional	
民俗	戸川安章 (民俗学者)ですね	Editional	
安	戸川安章 (民俗学者)ですね	Editional	
日本	戸川安章 (民俗学者)ですね	Editional	
主題	ピアノ三重奏曲第1番 (アレンスキー)ですね	Editional	
ピアノ	ピアノ三重奏曲第1番 (アレンスキー)ですね	Editional	
チェロ	ピアノ三重奏曲第1番 (アレンスキー)ですね	Editional	
ヴァイオリン	ピアノ三重奏曲第1番 (アレンスキー)ですね	Editional	
動き	ピアノ三重奏曲第1番 (アレンスキー)ですね	Editional	
ポール	ポール・アレンダーですね	Editional	
月	ポール・アレンダーですね	Editional	
イギリス	ポール・アレンダーですね	Editional	
ギタリスト	ポール・アレンダーですね	Editional	
出身	ポール・アレンダーですね	Editional	
頼	源頼治ですね	Editional	
源	源頼治ですね	Editional	
大和	源頼治ですね	Editional	
宇野	源頼治ですね	Editional	
延暦寺	源頼治ですね	Editional	
ギタリスト	チャールズ・ヘッジャーですね	Editional	
チャールズ	チャールズ・ヘッジャーですね	Editional	
月	チャールズ・ヘッジャーですね	Editional	
イギリス	チャールズ・ヘッジャーですね	Editional	
イングランド	チャールズ・ヘッジャーですね	Editional	
草村	名草村ですね	Editional	
東員	東員町立東員第二中学校ですね	Editional	
中学校	東員町立東員第二中学校ですね	Editional	
町立	東員町立東員第二中学校ですね	Editional	
三重	東員町立東員第二中学校ですね	Editional	
員弁	東員町立東員第二中学校ですね	Editional	
山形	吉村美栄子ですね	Editional	
月	吉村美栄子ですね	Editional	
県	吉村美栄子ですね	Editional	
吉村	吉村美栄子ですね	Editional	
災害	吉村美栄子ですね	Editional	
ひろ	そえたかずひろですね	Editional	
漫画	そえたかずひろですね	Editional	
月	そえたかずひろですね	Editional	
日本	そえたかずひろですね	Editional	
イラストレーター	そえたかずひろですね	Editional	
ディック	ディック・グレイソンですね	Editional	
バットマン	ディック・グレイソンですね	Editional	
ロビン	ディック・グレイソンですね	Editional	
ブルース	ディック・グレイソンですね	Editional	
自分	ディック・グレイソンですね	Editional	
章	日本赤十字社銀色有功章ですね	Editional	
日本赤十字社	日本赤十字社銀色有功章ですね	Editional	
有功	日本赤十字社銀色有功章ですね	Editional	
銀色	日本赤十字社銀色有功章ですね	Editional	
楯	日本赤十字社銀色有功章ですね	Editional	
紀行	赤道大紀行ですね	Editional	
赤道	赤道大紀行ですね	Editional	
番組	赤道大紀行ですね	Editional	
シリーズ	赤道大紀行ですね	Editional	
せき	赤道大紀行ですね	Editional	
平木	平木良樹ですね	Editional	
月	平木良樹ですね	Editional	
サッカー	平木良樹ですね	Editional	
秋田	平木良樹ですね	Editional	
良樹	平木良樹ですね	Editional	
映画	ロバート・プロスキーですね	Editional	
月	ロバート・プロスキーですね	Editional	
役者	ロバート・プロスキーですね	Editional	
テレビ	ロバート・プロスキーですね	Editional	
舞台	ロバート・プロスキーですね	Editional	
桃子	桃子 (AV女優)ですね	Editional	
女優	桃子 (AV女優)ですね	Editional	
月	桃子 (AV女優)ですね	Editional	
ももこ	桃子 (AV女優)ですね	Editional	
日本	桃子 (AV女優)ですね	Editional	
れん	美藤れんですね	Editional	
藤	美藤れんですね	Editional	
美	美藤れんですね	Editional	
月	美藤れんですね	Editional	
日本	美藤れんですね	Editional	
理由	ジョナサン・ダンシーですね	Editional	
大学	ジョナサン・ダンシーですね	Editional	
道徳	ジョナサン・ダンシーですね	Editional	
ジョナサン	ジョナサン・ダンシーですね	Editional	
倫理	ジョナサン・ダンシーですね	Editional	
月	矢代治彦ですね	Editional	
株式会社	矢代治彦ですね	Editional	
矢代	矢代治彦ですね	Editional	
治彦	矢代治彦ですね	Editional	
昭和	矢代治彦ですね	Editional	
あいこ	永井あいこですね	Editional	
永井	永井あいこですね	Editional	
女優	永井あいこですね	Editional	
南	永井あいこですね	Editional	
時代	永井あいこですね	Editional	
金塚	金塚貞文ですね	Editional	
哲学	金塚貞文ですね	Editional	
社会	金塚貞文ですね	Editional	
秩序	金塚貞文ですね	Editional	
貞文	金塚貞文ですね	Editional	
内田	内田修平ですね	Editional	
修平	内田修平ですね	Editional	
しゅう	内田修平ですね	Editional	
月	内田修平ですね	Editional	
日本	内田修平ですね	Editional	
顔	石坂浩二のスーパーアイですね	Editional	
番組	石坂浩二のスーパーアイですね	Editional	
石坂	石坂浩二のスーパーアイですね	Editional	
浩二	石坂浩二のスーパーアイですね	Editional	
月	石坂浩二のスーパーアイですね	Editional	
水路	海部幹線水路ですね	Editional	
海部	海部幹線水路ですね	Editional	
幹線	海部幹線水路ですね	Editional	
木曽川	海部幹線水路ですね	Editional	
用水	海部幹線水路ですね	Editional	
月	田口泰士ですね	Editional	
日本	田口泰士ですね	Editional	
リーグ	田口泰士ですね	Editional	
プロ	田口泰士ですね	Editional	
チーム	田口泰士ですね	Editional	
月	ジョン・ハービソンですね	Editional	
作品	ジョン・ハービソンですね	Editional	
フィルハーモニー	ジョン・ハービソンですね	Editional	
ジョン	ジョン・ハービソンですね	Editional	
オペラ	ジョン・ハービソンですね	Editional	
月	吉田小江子ですね	Editional	
大学	吉田小江子ですね	Editional	
吉田	吉田小江子ですね	Editional	
江子	吉田小江子ですね	Editional	
奈良	吉田小江子ですね	Editional	
尾上	尾上芙雀ですね	Editional	
芙雀	尾上芙雀ですね	Editional	
おの	尾上芙雀ですね	Editional	
ふじ	尾上芙雀ですね	Editional	
歌舞伎	尾上芙雀ですね	Editional	
巌	巌浩ですね	Editional	
日本	巌浩ですね	Editional	
新聞	巌浩ですね	Editional	
現代	巌浩ですね	Editional	
伝統	巌浩ですね	Editional	
駅伝	高林祐介ですね	Editional	
