Question	Answer	Source	Metadata
力士	八甲山純司ですね	Editional	
部屋	八甲山純司ですね	Editional	
月	ニコライ・ネフスキーですね	Editional	
日本	ニコライ・ネフスキーですね	Editional	
ロシア	ニコライ・ネフスキーですね	Editional	
東洋	ニコライ・ネフスキーですね	Editional	
学者	ニコライ・ネフスキーですね	Editional	
呉	呉敏錫ですね	Editional	
敏	呉敏錫ですね	Editional	
錫	呉敏錫ですね	Editional	
月	呉敏錫ですね	Editional	
大韓民国	呉敏錫ですね	Editional	
森	森発電所ですね	Editional	
地熱	森発電所ですね	Editional	
蒸気	森発電所ですね	Editional	
容量	森発電所ですね	Editional	
はつ	森発電所ですね	Editional	
野球	松谷栄司ですね	Editional	
大会	松谷栄司ですね	Editional	
松谷	松谷栄司ですね	Editional	
浦河	松谷栄司ですね	Editional	
左	松谷栄司ですね	Editional	
大竹	大竹仁ですね	Editional	
仁	大竹仁ですね	Editional	
稚内	大竹仁ですね	Editional	
野球	大竹仁ですね	Editional	
左	大竹仁ですね	Editional	
朴	朴相太ですね	Editional	
太	朴相太ですね	Editional	
月	朴相太ですね	Editional	
大韓民国	朴相太ですね	Editional	
慶尚南道	朴相太ですね	Editional	
遺跡	馬場壇A遺跡ですね	Editional	
旧石器時代	馬場壇A遺跡ですね	Editional	
石器	馬場壇A遺跡ですね	Editional	
馬場	馬場壇A遺跡ですね	Editional	
壇	馬場壇A遺跡ですね	Editional	
遺跡	高森遺跡ですね	Editional	
石器	高森遺跡ですね	Editional	
高森	高森遺跡ですね	Editional	
旧石器時代	高森遺跡ですね	Editional	
宮城	高森遺跡ですね	Editional	
部落	木村京太郎ですね	Editional	
全国	木村京太郎ですね	Editional	
水平	木村京太郎ですね	Editional	
事件	木村京太郎ですね	Editional	
木村	木村京太郎ですね	Editional	
教	田中教忠ですね	Editional	
忠	田中教忠ですね	Editional	
田中	田中教忠ですね	Editional	
京都	田中教忠ですね	Editional	
古文書	田中教忠ですね	Editional	
トンネル	堀切トンネルですね	Editional	
堀切	堀切トンネルですね	Editional	
愛媛	堀切トンネルですね	Editional	
四国	堀切トンネルですね	Editional	
中央	堀切トンネルですね	Editional	
月	村井理沙子ですね	Editional	
声優	村井理沙子ですね	Editional	
村井	村井理沙子ですね	Editional	
理沙	村井理沙子ですね	Editional	
プロダクション	村井理沙子ですね	Editional	
永楽	高永楽ですね	Editional	
高	高永楽ですね	Editional	
魏	高永楽ですね	Editional	
済州	高永楽ですね	Editional	
北	高永楽ですね	Editional	
ユニ	横田増生ですね	Editional	
クロ	横田増生ですね	Editional	
横田	横田増生ですね	Editional	
ジャーナリスト	横田増生ですね	Editional	
アメリカ	横田増生ですね	Editional	
庄司	庄司肇ですね	Editional	
肇	庄司肇ですね	Editional	
月	庄司肇ですね	Editional	
作家	庄司肇ですね	Editional	
眼科	庄司肇ですね	Editional	
明治	渡辺駛水ですね	Editional	
鳥取	渡辺駛水ですね	Editional	
渡辺	渡辺駛水ですね	Editional	
大正	渡辺駛水ですね	Editional	
米子	渡辺駛水ですね	Editional	
月	ロバート・リストンですね	Editional	
外科	ロバート・リストンですね	Editional	
エーテル	ロバート・リストンですね	Editional	
ロバート	ロバート・リストンですね	Editional	
トン	ロバート・リストンですね	Editional	
劉	劉喜ですね	Editional	
喜	劉喜ですね	Editional	
りゅう	劉喜ですね	Editional	
宮城	桜村 (宮城県)ですね	Editional	
桜村	桜村 (宮城県)ですね	Editional	
桜	桜村 (宮城県)ですね	Editional	
さくら	桜村 (宮城県)ですね	Editional	
