Question	Answer	Source	Metadata
信平	樋口信平ですね	Editional	
牧師	樋口信平ですね	Editional	
キリスト	樋口信平ですね	Editional	
泥	泥谷一毅ですね	Editional	
谷	泥谷一毅ですね	Editional	
番号	泥谷一毅ですね	Editional	
毅	泥谷一毅ですね	Editional	
大阪	泥谷一毅ですね	Editional	
福原	福原元俊 (隠岐守)ですね	Editional	
俊	福原元俊 (隠岐守)ですね	Editional	
毛利	福原元俊 (隠岐守)ですね	Editional	
秀	福原元俊 (隠岐守)ですね	Editional	
隠岐	福原元俊 (隠岐守)ですね	Editional	
俊	福原元俊ですね	Editional	
毛利	福原元俊ですね	Editional	
福原	福原元俊ですね	Editional	
当主	福原元俊ですね	Editional	
字	福原元俊ですね	Editional	
アイルランド	マイケル・オリオーダンですね	Editional	
月	マイケル・オリオーダンですね	Editional	
共和	マイケル・オリオーダンですね	Editional	
主義	マイケル・オリオーダンですね	Editional	
国際	マイケル・オリオーダンですね	Editional	
映画	ブライアン・ジョーンズ ストーンズから消えた男ですね	Editional	
ブライアン	ブライアン・ジョーンズ ストーンズから消えた男ですね	Editional	
ジョーンズ	ブライアン・ジョーンズ ストーンズから消えた男ですね	Editional	
男	ブライアン・ジョーンズ ストーンズから消えた男ですね	Editional	
国際	ブライアン・ジョーンズ ストーンズから消えた男ですね	Editional	
菅原	First Story (菅原紗由理のアルバム)ですね	Editional	
紗	First Story (菅原紗由理のアルバム)ですね	Editional	
由理	First Story (菅原紗由理のアルバム)ですね	Editional	
アルバム	First Story (菅原紗由理のアルバム)ですね	Editional	
ファースト	First Story (菅原紗由理のアルバム)ですね	Editional	
月	アン・ウルフ (ボクサー)ですね	Editional	
王座	アン・ウルフ (ボクサー)ですね	Editional	
プロ	アン・ウルフ (ボクサー)ですね	Editional	
世界	アン・ウルフ (ボクサー)ですね	Editional	
スーパー	アン・ウルフ (ボクサー)ですね	Editional	
アン	アン・ウルフですね	Editional	
ウルフ	アン・ウルフですね	Editional	
綺	綺華れいですね	Editional	
華	綺華れいですね	Editional	
れい	綺華れいですね	Editional	
出身	綺華れいですね	Editional	
月	綺華れいですね	Editional	
月	西丸與一ですね	Editional	
法医学	西丸與一ですね	Editional	
