Question	Answer	Source	Metadata
ラジオ	鈴木俊光ですね	Editional	
鈴木	鈴木俊光ですね	Editional	
俊光	鈴木俊光ですね	Editional	
竹	宝山郷ですね	Editional	
工業	宝山郷ですね	Editional	
宝山	宝山郷ですね	Editional	
宝	宝山郷ですね	Editional	
台湾	宝山郷ですね	Editional	
写真	三浦和人 (写真家)ですね	Editional	
三浦	三浦和人 (写真家)ですね	Editional	
和人	三浦和人 (写真家)ですね	Editional	
みうら	三浦和人 (写真家)ですね	Editional	
日本	三浦和人 (写真家)ですね	Editional	
ロバート	ロバート・カバスですね	Editional	
選手	ロバート・カバスですね	Editional	
金メダル	ロバート・カバスですね	Editional	
月	ロバート・カバスですね	Editional	
オーストラリア	ロバート・カバスですね	Editional	
生徒	岐阜県立武義高等学校ですね	Editional	
岐阜	岐阜県立武義高等学校ですね	Editional	
学校	岐阜県立武義高等学校ですね	Editional	
商業	岐阜県立武義高等学校ですね	Editional	
情報処理	岐阜県立武義高等学校ですね	Editional	
王子	具志頭朝盛ですね	Editional	
朝	具志頭朝盛ですね	Editional	
盛	具志頭朝盛ですね	Editional	
具志頭	具志頭朝盛ですね	Editional	
王	具志頭朝盛ですね	Editional	
明	源明国ですね	Editional	
源	源明国ですね	Editional	
多田	源明国ですね	Editional	
守	源明国ですね	Editional	
藤原	源明国ですね	Editional	
音楽	古川聖ですね	Editional	
大学	古川聖ですね	Editional	
芸術	古川聖ですね	Editional	
プロジェクト	古川聖ですね	Editional	
メディア	古川聖ですね	Editional	
日本	ジョン・ザンディグですね	Editional	
ベルト	ジョン・ザンディグですね	Editional	
葛西	ジョン・ザンディグですね	Editional	
月	ジョン・ザンディグですね	Editional	
プロレス	ジョン・ザンディグですね	Editional	
サッカー	高田豊治ですね	Editional	
委員	高田豊治ですね	Editional	
リーグ	高田豊治ですね	Editional	
マツダ	高田豊治ですね	Editional	
高田	高田豊治ですね	Editional	
東京	乾政彦ですね	Editional	
乾	乾政彦ですね	Editional	
月	乾政彦ですね	Editional	
大学	乾政彦ですね	Editional	
政彦	乾政彦ですね	Editional	
髷	勝山髷ですね	Editional	
勝山	勝山髷ですね	Editional	
江戸	勝山髷ですね	Editional	
輪	勝山髷ですね	Editional	
遊女	勝山髷ですね	Editional	
工場	ジョン・ディキンソン (発明家)ですね	Editional	
文房具	ジョン・ディキンソン (発明家)ですね	Editional	
大砲	ジョン・ディキンソン (発明家)ですね	Editional	
ジョン	ジョン・ディキンソン (発明家)ですね	Editional	
イギリス	ジョン・ディキンソン (発明家)ですね	Editional	
ジョン	ジョン・ディキンソンですね	Editional	
アーチ	ジェファーソン・ナショナル・エクスパンション・メモリアルですね	Editional	
セントルイス	ジェファーソン・ナショナル・エクスパンション・メモリアルですね	Editional	
公園	ジェファーソン・ナショナル・エクスパンション・メモリアルですね	Editional	
裁判所	ジェファーソン・ナショナル・エクスパンション・メモリアルですね	Editional	
サー	ジェファーソン・ナショナル・エクスパンション・メモリアルですね	Editional	
教授	宮崎克則ですね	Editional	
文化	宮崎克則ですね	Editional	
宮崎	宮崎克則ですね	Editional	
克則	宮崎克則ですね	Editional	
日本	宮崎克則ですね	Editional	
ロシア	ミハイル・スペランスキーですね	Editional	
皇帝	ミハイル・スペランスキーですね	Editional	
アレクサンドル	ミハイル・スペランスキーですね	Editional	
官僚	ミハイル・スペランスキーですね	Editional	
ドゥーマ	ミハイル・スペランスキーですね	Editional	
文学	宇野邦一ですね	Editional	
現代	宇野邦一ですね	Editional	
宇野	宇野邦一ですね	Editional	
邦一	宇野邦一ですね	Editional	
身体	宇野邦一ですね	Editional	
落合	落合弘樹ですね	Editional	
弘樹	落合弘樹ですね	Editional	
日本	落合弘樹ですね	Editional	
月	落合弘樹ですね	Editional	
歴史	落合弘樹ですね	Editional	
宮崎	田中長茂ですね	Editional	
田中	田中長茂ですね	Editional	
長	田中長茂ですね	Editional	
茂	田中長茂ですね	Editional	
月	田中長茂ですね	Editional	
聾	トーマス・ホプキンズ・ギャローデットですね	Editional	
アリス	トーマス・ホプキンズ・ギャローデットですね	Editional	
学校	トーマス・ホプキンズ・ギャローデットですね	Editional	
牧師	トーマス・ホプキンズ・ギャローデットですね	Editional	
大学	トーマス・ホプキンズ・ギャローデットですね	Editional	
北条	富永直勝ですね	Editional	
富永	富永直勝ですね	Editional	
太田	富永直勝ですね	Editional	
康	富永直勝ですね	Editional	
衆	富永直勝ですね	Editional	
女優	水原ゆう紀ですね	Editional	
月	水原ゆう紀ですね	Editional	
水原	水原ゆう紀ですね	Editional	
映画	水原ゆう紀ですね	Editional	
ヌード	水原ゆう紀ですね	Editional	
月	橋本功ですね	Editional	
橋本	橋本功ですね	Editional	
功	橋本功ですね	Editional	
俳優座	橋本功ですね	Editional	
テレビ	橋本功ですね	Editional	
天文学	ハンス・ルーデンドルフですね	Editional	
物理	ハンス・ルーデンドルフですね	Editional	
著書	ハンス・ルーデンドルフですね	Editional	
月	ハンス・ルーデンドルフですね	Editional	
ドイツ	ハンス・ルーデンドルフですね	Editional	
綾	出雲綾ですね	Editional	
月	出雲綾ですね	Editional	
出雲	出雲綾ですね	Editional	
兵庫	出雲綾ですね	Editional	
宝塚	出雲綾ですね	Editional	
女優	北川絵美 (AV女優)ですね	Editional	
北川	北川絵美 (AV女優)ですね	Editional	
シネマ	北川絵美 (AV女優)ですね	Editional	
絵美	北川絵美 (AV女優)ですね	Editional	
明	北川絵美 (AV女優)ですね	Editional	
細川	細川治年ですね	Editional	
藩主	細川治年ですね	Editional	
父	細川治年ですね	Editional	
天明	細川治年ですね	Editional	
治	細川治年ですね	Editional	
中世	石井進 (歴史学者)ですね	Editional	
武士	石井進 (歴史学者)ですね	Editional	
石井	石井進 (歴史学者)ですね	Editional	
教授	石井進 (歴史学者)ですね	Editional	
日本	石井進 (歴史学者)ですね	Editional	
史朗	並樹史朗ですね	Editional	
