Question	Answer	Source	Metadata
日本	神立尚紀ですね	Editional	
カメラマン	神立尚紀ですね	Editional	
坂下	坂下神社ですね	Editional	
神社	坂下神社ですね	Editional	
じん	坂下神社ですね	Editional	
岡田	岡田光代ですね	Editional	
光代	岡田光代ですね	Editional	
日本	岡田光代ですね	Editional	
経済	岡田光代ですね	Editional	
みつよ	岡田光代ですね	Editional	
文学	猪野省三ですね	Editional	
児童	猪野省三ですね	Editional	
猪野	猪野省三ですね	Editional	
日本	猪野省三ですね	Editional	
プロレタリア	猪野省三ですね	Editional	
大司教	韓大輝ですね	Editional	
教皇	韓大輝ですね	Editional	
月	韓大輝ですね	Editional	
韓	韓大輝ですね	Editional	
香港	韓大輝ですね	Editional	
妻	吉頂寺晃ですね	Editional	
郎	吉頂寺晃ですね	Editional	
俳優	吉頂寺晃ですね	Editional	
吾妻	吉頂寺晃ですね	Editional	
阪	吉頂寺晃ですね	Editional	
天保	舟木外記ですね	Editional	
舟木	舟木外記ですね	Editional	
外	舟木外記ですね	Editional	
豊岡	舟木外記ですね	Editional	
家老	舟木外記ですね	Editional	
豊岡	猪子清ですね	Editional	
猪子	猪子清ですね	Editional	
清	猪子清ですね	Editional	
藩	猪子清ですね	Editional	
家老	猪子清ですね	Editional	
文学	岡本良雄ですね	Editional	
児童	岡本良雄ですね	Editional	
童話	岡本良雄ですね	Editional	
作品	岡本良雄ですね	Editional	
岡本	岡本良雄ですね	Editional	
永井	佐川田昌俊ですね	Editional	
昌俊	佐川田昌俊ですね	Editional	
淀	佐川田昌俊ですね	Editional	
勝	佐川田昌俊ですね	Editional	
家臣	佐川田昌俊ですね	Editional	
珍	金尚珍ですね	Editional	
月	金尚珍ですね	Editional	
プロ	金尚珍ですね	Editional	
金	金尚珍ですね	Editional	
尚	金尚珍ですね	Editional	
正邦	多胡与太郎ですね	Editional	
多胡	多胡与太郎ですね	Editional	
与太郎	多胡与太郎ですね	Editional	
淀	多胡与太郎ですね	Editional	
藩士	多胡与太郎ですね	Editional	
田辺	田辺権太夫ですね	Editional	
淀	田辺権太夫ですね	Editional	
稲葉	田辺権太夫ですね	Editional	
正邦	田辺権太夫ですね	Editional	
藩	田辺権太夫ですね	Editional	
巌谷	川崎大治ですね	Editional	
文学	川崎大治ですね	Editional	
作家	川崎大治ですね	Editional	
月	川崎大治ですね	Editional	
日本	川崎大治ですね	Editional	
部長	留岡幸男ですね	Editional	
月	留岡幸男ですね	Editional	
書記官	留岡幸男ですね	Editional	
警察	留岡幸男ですね	Editional	
留岡	留岡幸男ですね	Editional	
松前	松前利広ですね	Editional	
藩	松前利広ですね	Editional	
公広	松前利広ですね	Editional	
広	松前利広ですね	Editional	
杉山	松前利広ですね	Editional	
月	山口洋典ですね	Editional	
立命館大学	山口洋典ですね	Editional	
科学	山口洋典ですね	Editional	
主幹	山口洋典ですね	Editional	
まち	山口洋典ですね	Editional	
二階堂	二階堂トクヨですね	Editional	
トクヨ	二階堂トクヨですね	Editional	
三本木	二階堂トクヨですね	Editional	
師範	二階堂トクヨですね	Editional	
学校	二階堂トクヨですね	Editional	
党	グエン・ヴァン・アンですね	Editional	
月	グエン・ヴァン・アンですね	Editional	
委員	グエン・ヴァン・アンですね	Editional	
ベトナム	グエン・ヴァン・アンですね	Editional	
国会	グエン・ヴァン・アンですね	Editional	
雪	長谷川雪旦ですね	Editional	
旦	長谷川雪旦ですね	Editional	
江戸	長谷川雪旦ですね	Editional	
絵師	長谷川雪旦ですね	Editional	
唐津	長谷川雪旦ですね	Editional	
すず	泉すずですね	Editional	
泉	泉すずですね	Editional	
芸者	泉すずですね	Editional	
鏡花	泉すずですね	Editional	
月	泉すずですね	Editional	
月	安永東之助ですね	Editional	
満州	安永東之助ですね	Editional	
安永	安永東之助ですね	Editional	
助	安永東之助ですね	Editional	
日	安永東之助ですね	Editional	
月	グエン・フー・チョンですね	Editional	
党	グエン・フー・チョンですね	Editional	
委員	グエン・フー・チョンですね	Editional	
ベトナム	グエン・フー・チョンですね	Editional	
中央	グエン・フー・チョンですね	Editional	
米子	柳谷保一ですね	Editional	
柳谷	柳谷保一ですね	Editional	
鳥取	柳谷保一ですね	Editional	
議員	柳谷保一ですね	Editional	
保	柳谷保一ですね	Editional	
月	岡田包義ですね	Editional	
部長	岡田包義ですね	Editional	
岡田	岡田包義ですね	Editional	
徳島	岡田包義ですね	Editional	
県知事	岡田包義ですね	Editional	
月	ダイアナ・エクストラバガンザですね	Editional	
相撲	ダイアナ・エクストラバガンザですね	Editional	
ダイアナ	ダイアナ・エクストラバガンザですね	Editional	
大阪	ダイアナ・エクストラバガンザですね	Editional	
出身	ダイアナ・エクストラバガンザですね	Editional	
クラウス	クラウス＝ユルゲン・グリュンケですね	Editional	
ドイツ	クラウス＝ユルゲン・グリュンケですね	Editional	
月	クラウス＝ユルゲン・グリュンケですね	Editional	
旧東	クラウス＝ユルゲン・グリュンケですね	Editional	
