Question	Answer	Source	Metadata
空港	永山 (企業)ですね	Editional	
企業	永山 (企業)ですね	Editional	
事業	永山 (企業)ですね	Editional	
中村	中村和彦ですね	Editional	
和彦	中村和彦ですね	Editional	
なか	中村和彦ですね	Editional	
むら	中村和彦ですね	Editional	
宇佐美	宇佐美桃香ですね	Editional	
桃香	宇佐美桃香ですね	Editional	
うさ	宇佐美桃香ですね	Editional	
もも	宇佐美桃香ですね	Editional	
日本	宇佐美桃香ですね	Editional	
明石	明石盛行ですね	Editional	
盛行	明石盛行ですね	Editional	
あかし	明石盛行ですね	Editional	
鎌倉	明石盛行ですね	Editional	
時代	明石盛行ですね	Editional	
選手	マーチン・ホーキンスですね	Editional	
月	マーチン・ホーキンスですね	Editional	
陸上	マーチン・ホーキンスですね	Editional	
ストックホルム	マーチン・ホーキンスですね	Editional	
オリンピック	マーチン・ホーキンスですね	Editional	
皮膚	芋川玄爾ですね	Editional	
教授	芋川玄爾ですね	Editional	
細胞	芋川玄爾ですね	Editional	
メカニズム	芋川玄爾ですね	Editional	
論文	芋川玄爾ですね	Editional	
宗	太古宗ですね	Editional	
太古	太古宗ですね	Editional	
仏教	太古宗ですね	Editional	
総務	太古宗ですね	Editional	
朝鮮	太古宗ですね	Editional	
大統領	ピート・ジュベールですね	Editional	
イギリス	ピート・ジュベールですね	Editional	
月	ピート・ジュベールですね	Editional	
最高	ピート・ジュベールですね	Editional	
軍	ピート・ジュベールですね	Editional	
電波	井上允ですね	Editional	
井上	井上允ですね	Editional	
允	井上允ですね	Editional	
天文学	井上允ですね	Editional	
国立	井上允ですね	Editional	
富川	富川市庁駅ですね	Editional	
駅	富川市庁駅ですね	Editional	
月	富川市庁駅ですね	Editional	
市庁	富川市庁駅ですね	Editional	
庁	富川市庁駅ですね	Editional	
井上	井上三太2ですね	Editional	
太	井上三太2ですね	Editional	
祥伝社	井上三太2ですね	Editional	
いのうえ	井上三太2ですね	Editional	
日本	井上三太2ですね	Editional	
あおい	あおいひとみですね	Editional	
ひとみ	あおいひとみですね	Editional	
日本	あおいひとみですね	Editional	
女性	あおいひとみですね	Editional	
声優	あおいひとみですね	Editional	
トルコ	ジェイハンですね	Editional	
ジェイ	ジェイハンですね	Editional	
ハン	ジェイハンですね	Editional	
地中海	ジェイハンですね	Editional	
終着	ジェイハンですね	Editional	
いじめ	中園直樹ですね	Editional	
小説	中園直樹ですね	Editional	
月	中園直樹ですね	Editional	
オルゴール	中園直樹ですね	Editional	
詩	中園直樹ですね	Editional	
日本	山本順寛ですね	Editional	
工学	山本順寛ですね	Editional	
博士	山本順寛ですね	Editional	
東京大学	山本順寛ですね	Editional	
