Question	Answer	Source	Metadata
人気	ロンスパークですね	Editional	
秋	ロンスパークですね	Editional	
日本	ロンスパークですね	Editional	
カー	ヘンリー・カーですね	Editional	
月	ヘンリー・カーですね	Editional	
オリンピック	ヘンリー・カーですね	Editional	
世界	ヘンリー・カーですね	Editional	
ヘンリー	ヘンリー・カーですね	Editional	
鉄道	高千穂鉄道ですね	Editional	
高千穂	高千穂鉄道ですね	Editional	
トロッコ	高千穂鉄道ですね	Editional	
月	高千穂鉄道ですね	Editional	
形	高千穂鉄道ですね	Editional	
越	越振氏ですね	Editional	
南条	越振氏ですね	Editional	
河村	越振氏ですね	Editional	
伯耆	越振氏ですね	Editional	
羽	越振氏ですね	Editional	
月	福原実ですね	Editional	
陸軍	福原実ですね	Editional	
福原	福原実ですね	Editional	
副長	福原実ですね	Editional	
実	福原実ですね	Editional	
憲法	渋谷秀樹ですね	Editional	
月	渋谷秀樹ですね	Editional	
渋谷	渋谷秀樹ですね	Editional	
秀樹	渋谷秀樹ですね	Editional	
法学	渋谷秀樹ですね	Editional	
オリンピック	ジョージ・ボンハーグですね	Editional	
ボン	ジョージ・ボンハーグですね	Editional	
ハーグ	ジョージ・ボンハーグですね	Editional	
大会	ジョージ・ボンハーグですね	Editional	
チーム	ジョージ・ボンハーグですね	Editional	
オリンピック	エリック・ビュレーンですね	Editional	
月	エリック・ビュレーンですね	Editional	
スウェーデン	エリック・ビュレーンですね	Editional	
パリ	エリック・ビュレーンですね	Editional	
アムステルダム	エリック・ビュレーンですね	Editional	
文	麹文泰ですね	Editional	
泰	麹文泰ですね	Editional	
唐	麹文泰ですね	Editional	
宗	麹文泰ですね	Editional	
高	麹文泰ですね	Editional	
ブライアン	ブライアン・アンダーソンですね	Editional	
アンダーソン	ブライアン・アンダーソンですね	Editional	
三浦	三浦早苗ですね	Editional	
早苗	三浦早苗ですね	Editional	
みうら	三浦早苗ですね	Editional	
さなえ	三浦早苗ですね	Editional	
月	三浦早苗ですね	Editional	
ブル	オーレ・ブルですね	Editional	
ノルウェー	オーレ・ブルですね	Editional	
ベルゲン	オーレ・ブルですね	Editional	
月	オーレ・ブルですね	Editional	
音楽	オーレ・ブルですね	Editional	
水野	水野成貞ですね	Editional	
成	水野成貞ですね	Editional	
貞	水野成貞ですね	Editional	
小姓	水野成貞ですね	Editional	
月	水野成貞ですね	Editional	
楽器	カール・ヘフナーですね	Editional	
ギター	カール・ヘフナーですね	Editional	
カール	カール・ヘフナーですね	Editional	
会社	カール・ヘフナーですね	Editional	
ベース	カール・ヘフナーですね	Editional	
李	侯君集ですね	Editional	
高	侯君集ですね	Editional	
昌	侯君集ですね	Editional	
宗	侯君集ですね	Editional	
靖	侯君集ですね	Editional	
宅地	大山綱昌ですね	Editional	
大山	大山綱昌ですね	Editional	
綱	大山綱昌ですね	Editional	
昌	大山綱昌ですね	Editional	
加治屋	大山綱昌ですね	Editional	
やすみ	秋やすみですね	Editional	
秋	秋やすみですね	Editional	
アルバム	秋やすみですね	Editional	
あき	秋やすみですね	Editional	
オリジナル	秋やすみですね	Editional	
広元	広元市ですね	Editional	
四川	広元市ですね	Editional	
陝西	広元市ですね	Editional	
西	広元市ですね	Editional	
漢	広元市ですね	Editional	
広元	広元ですね	Editional	
番組	起き抜け一番!榎さんのニュース&ミュージックですね	Editional	
ラジオ	起き抜け一番!榎さんのニュース&ミュージックですね	Editional	
ニュース	起き抜け一番!榎さんのニュース&ミュージックですね	Editional	
月	起き抜け一番!榎さんのニュース&ミュージックですね	Editional	
榎	起き抜け一番!榎さんのニュース&ミュージックですね	Editional	
西郷	西郷隆充ですね	Editional	
隆	西郷隆充ですね	Editional	
充	西郷隆充ですね	Editional	
宅地	西郷隆充ですね	Editional	
月	西郷隆充ですね	Editional	
妙	瀬尾妙実ですね	Editional	
選手権	瀬尾妙実ですね	Editional	
瀬尾	瀬尾妙実ですね	Editional	
実	瀬尾妙実ですね	Editional	
スケート	瀬尾妙実ですね	Editional	
横田	横田栄司ですね	Editional	
栄司	横田栄司ですね	Editional	
月	横田栄司ですね	Editional	
日本	横田栄司ですね	Editional	
舞台	横田栄司ですね	Editional	
榎	榎さんのお昼だよ〜!ですね	Editional	
番組	榎さんのお昼だよ〜!ですね	Editional	
お昼	榎さんのお昼だよ〜!ですね	Editional	
月	榎さんのお昼だよ〜!ですね	Editional	
ラジオ	榎さんのお昼だよ〜!ですね	Editional	
月	岩波重廣ですね	Editional	
場所	岩波重廣ですね	Editional	
時代	岩波重廣ですね	Editional	
千葉	岩波重廣ですね	Editional	
学校	岩波重廣ですね	Editional	
南	終南浄寿ですね	Editional	
終	終南浄寿ですね	Editional	
浄	終南浄寿ですね	Editional	
寿	終南浄寿ですね	Editional	
江戸	終南浄寿ですね	Editional	
月	ジョゼフ・アグベコですね	Editional	
王座	ジョゼフ・アグベコですね	Editional	
バンタム	ジョゼフ・アグベコですね	Editional	
世界	ジョゼフ・アグベコですね	Editional	
王者	ジョゼフ・アグベコですね	Editional	
音声	板倉文忠ですね	Editional	
情報	板倉文忠ですね	Editional	
方式	板倉文忠ですね	Editional	
学会	板倉文忠ですね	Editional	
板倉	板倉文忠ですね	Editional	
綱	大山綱毅ですね	Editional	
大山	大山綱毅ですね	Editional	
毅	大山綱毅ですね	Editional	
江戸	大山綱毅ですね	Editional	
