Question	Answer	Source	Metadata
明治	宮原忠英ですね	Editional	
旗本	宮原忠英ですね	Editional	
カンザス	トム・ペンダーガストですね	Editional	
シティ	トム・ペンダーガストですね	Editional	
市会	トム・ペンダーガストですね	Editional	
議員	トム・ペンダーガストですね	Editional	
月	トム・ペンダーガストですね	Editional	
エンジン	プラット・アンド・ホイットニー PW2000ですね	Editional	
タービン	プラット・アンド・ホイットニー PW2000ですね	Editional	
動力	プラット・アンド・ホイットニー PW2000ですね	Editional	
航空	プラット・アンド・ホイットニー PW2000ですね	Editional	
プラット	プラット・アンド・ホイットニー PW2000ですね	Editional	
スコットランド	ロバート・ロイ・マグレガーですね	Editional	
ロバート	ロバート・ロイ・マグレガーですね	Editional	
英雄	ロバート・ロイ・マグレガーですね	Editional	
赤毛	ロバート・ロイ・マグレガーですね	Editional	
地域	ロバート・ロイ・マグレガーですね	Editional	
経済	望月喜市ですね	Editional	
ロシア	望月喜市ですね	Editional	
教授	望月喜市ですね	Editional	
静岡	望月喜市ですね	Editional	
月	望月喜市ですね	Editional	
月	本村伸子ですね	Editional	
議員	本村伸子ですね	Editional	
愛知	本村伸子ですね	Editional	
本村	本村伸子ですね	Editional	
日本	本村伸子ですね	Editional	
駅	ラムチー駅ですね	Editional	
タイ	ラムチー駅ですね	Editional	
東北	ラムチー駅ですね	Editional	
ラム	ラムチー駅ですね	Editional	
チー	ラムチー駅ですね	Editional	
工学	徳田正満ですね	Editional	
大学	徳田正満ですね	Editional	
教授	徳田正満ですね	Editional	
博士	徳田正満ですね	Editional	
徳田	徳田正満ですね	Editional	
広瀬	広瀬なつめですね	Editional	
なつ	広瀬なつめですね	Editional	
ひろ	広瀬なつめですね	Editional	
つめ	広瀬なつめですね	Editional	
月	広瀬なつめですね	Editional	
村	ノアン＝ヴィックですね	Editional	
月	ノアン＝ヴィックですね	Editional	
ローマ	ノアン＝ヴィックですね	Editional	
名	ノアン＝ヴィックですね	Editional	
アン	ノアン＝ヴィックですね	Editional	
月	ミシェル・カファンドですね	Editional	
大統領	ミシェル・カファンドですね	Editional	
ブルキナファソ	ミシェル・カファンドですね	Editional	
大臣	ミシェル・カファンドですね	Editional	
国連	ミシェル・カファンドですね	Editional	
森下	森下suuですね	Editional	
マーガレット	森下suuですね	Editional	
日本	森下suuですね	Editional	
漫画	森下suuですね	Editional	
ユニット	森下suuですね	Editional	
月	椎木里佳ですね	Editional	
株式会社	椎木里佳ですね	Editional	
慶應義塾	椎木里佳ですね	Editional	
事業	椎木里佳ですね	Editional	
女子	椎木里佳ですね	Editional	
喜入	喜入久道ですね	Editional	
鹿児島	喜入久道ですね	Editional	
天正	喜入久道ですね	Editional	
島津	喜入久道ですね	Editional	
久道	喜入久道ですね	Editional	
久	義岡久延ですね	Editional	
延	義岡久延ですね	Editional	
島津	義岡久延ですね	Editional	
義	義岡久延ですね	Editional	
岡	義岡久延ですね	Editional	
ニューヨーク	宇多川信学ですね	Editional	
地下鉄	宇多川信学ですね	Editional	
宇多川	宇多川信学ですね	Editional	
信	宇多川信学ですね	Editional	
工業	宇多川信学ですね	Editional	
シリーズ	タニヤ・シュテーブナーですね	Editional	
作家	タニヤ・シュテーブナーですね	Editional	
タイトル	タニヤ・シュテーブナーですね	Editional	
文学	タニヤ・シュテーブナーですね	Editional	
動物	タニヤ・シュテーブナーですね	Editional	
月	大島優磨ですね	Editional	
決勝	大島優磨ですね	Editional	
柔道	大島優磨ですね	Editional	
志	大島優磨ですね	Editional	
目	大島優磨ですね	Editional	
ニュートン	ケントの花ですね	Editional	
リンゴ	ケントの花ですね	Editional	
木	ケントの花ですね	Editional	
ケント	ケントの花ですね	Editional	
花	ケントの花ですね	Editional	
田中	田中啓三ですね	Editional	
啓三	田中啓三ですね	Editional	
けいぞう	田中啓三ですね	Editional	
月	田中啓三ですね	Editional	
日本	田中啓三ですね	Editional	
末田	末田倫子ですね	Editional	
倫子	末田倫子ですね	Editional	
山陽放送	末田倫子ですね	Editional	
フリー	末田倫子ですね	Editional	
ともこ	末田倫子ですね	Editional	
アナウンサー	松村満美子ですね	Editional	
松村	松村満美子ですね	Editional	
満美子	松村満美子ですね	Editional	
営利	松村満美子ですね	Editional	
法人	松村満美子ですね	Editional	
フランス	エリク・モンバエルツですね	Editional	
サッカー	エリク・モンバエルツですね	Editional	
月	エリク・モンバエルツですね	Editional	
選手	エリク・モンバエルツですね	Editional	
エリク	エリク・モンバエルツですね	Editional	
ディック	ディック・ハーレーですね	Editional	
ジョージ	ジョージ・ハーパーですね	Editional	
ハー	ジョージ・ハーパーですね	Editional	
パー	ジョージ・ハーパーですね	Editional	
ジャック	ジャック・ハーパーですね	Editional	
ハー	ジャック・ハーパーですね	Editional	
パー	ジャック・ハーパーですね	Editional	
アンディ	アンディ・ハリントンですね	Editional	
井上	井上麻矢ですね	Editional	
麻矢	井上麻矢ですね	Editional	
学校	井上麻矢ですね	Editional	
劇団	井上麻矢ですね	Editional	
座	井上麻矢ですね	Editional	
フランク	フランク・ハリス (曖昧さ回避)ですね	Editional	
ハリス	フランク・ハリス (曖昧さ回避)ですね	Editional	
ハリス	ジーン・ハリス (曖昧さ回避)ですね	Editional	
議員	叶凸ですね	Editional	
昭和	叶凸ですね	Editional	
衆議院	叶凸ですね	Editional	
月	叶凸ですね	Editional	
日本	叶凸ですね	Editional	
公園	水元中央公園ですね	Editional	
水元	水元中央公園ですね	Editional	
教室	水元中央公園ですね	Editional	
中央	水元中央公園ですね	Editional	
葛飾	水元中央公園ですね	Editional	
脚本	土橋章宏ですね	Editional	
シナリオ	土橋章宏ですね	Editional	
日本	土橋章宏ですね	Editional	
小説	土橋章宏ですね	Editional	
作家	土橋章宏ですね	Editional	
月	田川まゆみですね	Editional	
平成	田川まゆみですね	Editional	
まゆみ	田川まゆみですね	Editional	
田川	田川まゆみですね	Editional	
昭和	田川まゆみですね	Editional	
ジョー	ジョー・ハリスですね	Editional	
ハリス	ジョー・ハリスですね	Editional	
ジョン	ジョン・ハリス (曖昧さ回避)ですね	Editional	
ハリス	ジョン・ハリス (曖昧さ回避)ですね	Editional	
ウィリアム	ウィリアム・ハート (曖昧さ回避)ですね	Editional	
ハート	ウィリアム・ハート (曖昧さ回避)ですね	Editional	
姓	ウィリアム・ハート (曖昧さ回避)ですね	Editional	
ビル	ウィリアム・ハート (曖昧さ回避)ですね	Editional	
ビリー	ウィリアム・ハート (曖昧さ回避)ですね	Editional	
ジミー	ジミー・ハート (曖昧さ回避)ですね	Editional	
ハート	ジミー・ハート (曖昧さ回避)ですね	Editional	
マイケル	マイケル・ハート (曖昧さ回避)ですね	Editional	
ハート	マイケル・ハート (曖昧さ回避)ですね	Editional	
マイク	マイケル・ハート (曖昧さ回避)ですね	Editional	
打率	ブライアン・バートンですね	Editional	
本塁打	ブライアン・バートンですね	Editional	
打点	ブライアン・バートンですね	Editional	
月	ブライアン・バートンですね	Editional	
メジャー	ブライアン・バートンですね	Editional	
傘下	ジム・エド・ワーデンですね	Editional	
年	ジム・エド・ワーデンですね	Editional	
アドバンス	ジム・エド・ワーデンですね	Editional	
右	ジム・エド・ワーデンですね	Editional	
ドラフト	ジム・エド・ワーデンですね	Editional	
安打	小田裕也ですね	Editional	
野球	小田裕也ですね	Editional	
大会	小田裕也ですね	Editional	
月	小田裕也ですね	Editional	
打数	小田裕也ですね	Editional	
月	西野真弘ですね	Editional	
野球	西野真弘ですね	Editional	
二塁手	西野真弘ですね	Editional	
プロ	西野真弘ですね	Editional	
安打	西野真弘ですね	Editional	
月	横山博幸ですね	Editional	
